          target           |                  source                  |     category     
 istruzione                | instruction,education                    | noun2f
 labbro                    | lip                                      | nounneutr
 lacrima                   | tear (from the eyes)                     | noun1
 lagna                     | whine,whiner                             | noun1
 lago                      | lake                                     | noun1
 lampada                   | lamp                                     | noun1
 lampo                     | bolt of lightning                        | noun1
 lampone                   | raspberry                                | noun2m
 lana                      | wool                                     | noun1
 latte                     | milk                                     | noun2m
 lattuga                   | head of lettuce,lettuce                  | nounsingf
 lattughe                  | heads of lettuce                         | nounplf
 lavagna                   | whiteboard                               | noun1
 lavanderia                | laundry store                            | noun1
 lavandino                 | sink                                     | noun1
 lavastoviglie             | dish washer                              | nouninvf
 lavatrice                 | washing machine                          | noun2f
 lavello                   | sink                                     | noun1
 lavoro                    | work                                     | noun1
 legge                     | law                                      | noun2f
 legume                    | legume                                   | noun2m
 lenzuolo                  | sheet                                    | noun1
 lettera                   | letter                                   | noun1
 letteratura               | literature                               | noun1
 lettere                   | humanities                               | nounplf
 letto                     | bed                                      | noun1
 lettore                   | male reader or lecturer,cd or dvd player | noun2m
 lettrice                  | female reader , female lecturer          | noun2f
 lettura                   | reading                                  | noun1
 lezione                   | lesson, lecture                          | noun2f
 libreria                  | bookstore                                | noun1
 libro                     | book                                     | noun1
 liceo                     | high school                              | noun1
 limite                    | limit                                    | noun2m
 limite                    | limit,edge                               | noun2m
 linea                     | line                                     | noun1
 lingua                    | tongue , language                        | noun1
 liquidazione              | colsing sale                             | noun2f
 livello                   | level                                    | noun1
 livido                    | bruise                                   | noun1
 locale                    | venue                                    | noun2m
 località                  | location                                 | nouninvf
 località balneare         | beach resort                             | noun2f
 località montana          | mountain resort                          | noun1
 loggione                  | upper circle                             | noun2m
 lucciola                  | firefly                                  | noun1
 luna                      | moon                                     | noun1
 luogo                     | place                                    | noun1
 luogo                     | place (l...)                             | noun1
 lupo                      | wolf                                     | noun1
 macchina                  | car                                      | noun1
 macellaio                 | butcher                                  | noun1
 macelleria                | butcher shop                             | noun1
 madre                     | mother                                   | noun2f
 maglia                    | sweater , 6 letters                      | noun1
 maglietta                 | t-shirt , polo shirt                     | noun1
 maglione                  | sweater, 8 letters                       | noun2m
 magnete                   | magnet                                   | noun2m
 maiale                    | pig                                      | noun2m
 malattia                  | illness                                  | noun1
 mamma                     | mom                                      | noun1
 mani                      | hands                                    | nounplf
 manica                    | sleeve                                   | noun1
 mano                      | hand                                     | nounf
 mansarda                  | attic (m...)                             | noun1
 manzo                     | beef                                     | noun1
 marca                     | brand                                    | noun1
 marciapiede               | sidewalk                                 | noun2m
 mare                      | sea                                      | noun2m
 marea                     | tide                                     | noun1
 marito                    | husband                                  | noun1
 marmellata                | fruit jam                                | noun1
 marmo                     | marble                                   | noun1
 maschio                   | male                                     | noun1
 matematica                | math                                     | noun1
 materia                   | subject matter                           | noun1
 maternità                 | maternity                                | noun1
 matita                    | pencil                                   | noun1
 matrigna                  | step-mother                              | noun1
 matrimonio                | marimony                                 | noun1
 mattina                   | morning                                  | noun1
 meccanico                 | mechanic                                 | noun1
